"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
526129885842;"Mangal Craft";;;Шампуры;"Набор Шампуров №1 (классический)";"Заказ от 6 шт<br />Aisi 304 нержавейка";"<strong style=""color: rgb(255, 121, 0);"">Для люля-кебаба и шашлыка </strong><br /><br />-наружная прорезь ровная<br />-внутреннее прорезь ровная<br />-люля-кебаб отлично держится на шампуре <br /><br />Общая длина 65см<br />Рабочая поверхность 45см<br />Ширина 17 мм или 21 мм<br />Толщина от 2 мм до 3 мм<br />Ручка не нагревается";https://static.tildacdn.com/stor3761-3538-4861-b865-616134323631/84907fb1abedc45b630b3bb78c1cca6d.png;;;;;"Чехол:Не нужен;Чехол-сумка для шампуров 800 руб.=+800";UdYfv4Y9oZoL7RSi9r91;;0;0;0;0;"Набор Шампуров №1 (классический)";"Для люля-кебаба и шашлыка. Люля-кебаб отлично держится на шампуре";"купить шампуры, набор шампуров цена, шампур цена, купить шампура для шашлыка, шампур люля купить";;
677836959882;;SH-0001;;;"Набор Шампуров №1 (классический) - 17 мм - 6 шт";;;;6000.00;;;"Ширина лезвия:17 мм;Количество шампуров:6 шт";;GG1UH01v8CkB1y7ZMNm8;526129885842;920;810;85;40;;;;;
140514016132;;SH-0002;;;"Набор Шампуров №1 (классический) - 17 мм - 7 шт";;;;7000.00;;;"Ширина лезвия:17 мм;Количество шампуров:7 шт";;8SMp8XtIfzdSoUjiXGuh;526129885842;1060;810;85;40;;;;;
731954424122;;SH-0003;;;"Набор Шампуров №1 (классический) - 17 мм - 8 шт";;;;8000.00;;;"Ширина лезвия:17 мм;Количество шампуров:8 шт";;VCR1cCrX80SgP1fJM3DL;526129885842;1200;810;85;40;;;;;
501818196392;;SH-0004;;;"Набор Шампуров №1 (классический) - 17 мм - 9 шт";;;;9000.00;;;"Ширина лезвия:17 мм;Количество шампуров:9 шт";;J1I2ME3K4ryHlLyyAlz2;526129885842;1340;810;85;40;;;;;
999859875802;;SH-0005;;;"Набор Шампуров №1 (классический) - 17 мм - 10 шт";;;;10000.00;;;"Ширина лезвия:17 мм;Количество шампуров:10 шт";;oddvVMruiV9XAURT4BfS;526129885842;1480;810;85;40;;;;;
106560635452;;SH-0006;;;"Набор Шампуров №1 (классический) - 17 мм - 11 шт";;;;11000.00;;;"Ширина лезвия:17 мм;Количество шампуров:11 шт";;6xUtFTRM5SZEe9XcTDTx;526129885842;1620;810;85;40;;;;;
474908955272;;SH-0007;;;"Набор Шампуров №1 (классический) - 21 мм - 6 шт";;;;7200.00;;7800;"Ширина лезвия:21 мм;Количество шампуров:6 шт";;u48dyo2FDCSYb1sopZoL;526129885842;1050;810;85;40;;;;;
212327636612;;SH-0008;;;"Набор Шампуров №1 (классический) - 21 мм - 7 шт";;;;8400.00;;;"Ширина лезвия:21 мм;Количество шампуров:7 шт";;m050M2vrPNi6IjDF10PG;526129885842;1220;810;85;40;;;;;
822906849282;;SH-0009;;;"Набор Шампуров №1 (классический) - 21 мм - 8 шт";;;;9600.00;;;"Ширина лезвия:21 мм;Количество шампуров:8 шт";;lZuNYonDTvauCvGnURJH;526129885842;1390;810;85;40;;;;;
901785711442;;SH-0010;;;"Набор Шампуров №1 (классический) - 21 мм - 9 шт";;;;10800.00;;;"Ширина лезвия:21 мм;Количество шампуров:9 шт";;5p2VNCe5ffevm0co1eMx;526129885842;1560;810;85;40;;;;;
641064941282;;SH-0011;;;"Набор Шампуров №1 (классический) - 21 мм - 10 шт";;;;12000.00;;;"Ширина лезвия:21 мм;Количество шампуров:10 шт";;Rh6R95eLLYhPczctb6CU;526129885842;1730;810;85;40;;;;;
859132087522;;SH-0012;;;"Набор Шампуров №1 (классический) - 21 мм - 11 шт";;;;13200.00;;;"Ширина лезвия:21 мм;Количество шампуров:11 шт";;0sGvK7VYdS4XEa9Irs6i;526129885842;1900;810;85;40;;;;;
881800077172;"Mangal Craft";;;Шампуры;"Набор Шампуров №2 (универсальный)";"Заказ от 6 шт<br />Aisi 304 нержавейка";"<strong style=""color: rgb(255, 121, 0);"">Для люля-кебаба и шашлыка</strong><strong style=""color: rgb(255, 150, 0);""> </strong><br /><br />-наружная прорезь ровная<br />-внутренняя прорезь волнистая<br />-люля-кебаб отлично держится на шампуре <br /><br />Общая длина 65см<br />Рабочая поверхность 45см<br />Ширина 17 мм или 21 мм<br />Толщина от 2 мм до 3 мм<br />Ручка не нагревается";https://static.tildacdn.com/stor3938-6633-4639-b136-613630646433/a0c19d5bf3830ab76b0df2a47827a91b.png;;;;;"Чехол:Не нужен;Чехол-сумка для шампуров 800 руб.=+800";bnhcOUkloo0N6tL2mh9H;;0;0;0;0;"Набор Шампуров №2 (универсальный)";"Для люля-кебаба и шашлыка, внутренняя прорезь волнистая";"купить шампуры, набор шампуров цена, шампур цена, купить шампура для шашлыка, шампур люля купить";;
160879178802;;SH-0013;;;"Набор Шампуров №2 (универсальный) - 17 мм - 6 шт";;;;6000.00;;;"Ширина лезвия:17 мм;Количество шампуров:6 шт;Ширина лезвияяяя:";;kazdm14FOLNciz0zmkvM;881800077172;920;810;85;40;;;;;
582019596052;;SH-0014;;;"Набор Шампуров №2 (универсальный) - 17 мм - 7 шт";;;;7000.00;;;"Ширина лезвия:17 мм;Количество шампуров:7 шт;Ширина лезвияяяя:";;6BOA79ruo2Jl9hMEjx32;881800077172;1060;810;85;40;;;;;
763859765692;;SH-0015;;;"Набор Шампуров №2 (универсальный) - 17 мм - 8 шт";;;;8000.00;;;"Ширина лезвия:17 мм;Количество шампуров:8 шт;Ширина лезвияяяя:";;xLFyUcybd5gJdIGRXmDF;881800077172;1200;810;85;40;;;;;
387759323522;;SH-0016;;;"Набор Шампуров №2 (универсальный) - 17 мм - 9 шт";;;;9000.00;;;"Ширина лезвия:17 мм;Количество шампуров:9 шт;Ширина лезвияяяя:";;ctilPaOlzLdISeHfSy1S;881800077172;1340;810;85;40;;;;;
816519840322;;SH-0017;;;"Набор Шампуров №2 (универсальный) - 17 мм - 10 шт";;;;10000.00;;;"Ширина лезвия:17 мм;Количество шампуров:10 шт;Ширина лезвияяяя:";;C0pUGRt3NGiLTzb7UHKY;881800077172;1480;810;85;40;;;;;
341101058962;;SH-0018;;;"Набор Шампуров №2 (универсальный) - 17 мм - 11 шт";;;;11000.00;;;"Ширина лезвия:17 мм;Количество шампуров:11 шт;Ширина лезвияяяя:";;nyr51oxD3SzzAU9KGC9z;881800077172;1620;810;85;40;;;;;
990817062972;;SH-0019;;;"Набор Шампуров №2 (универсальный) - 21 мм - 6 шт";;;;7200.00;;7800;"Ширина лезвия:21 мм;Количество шампуров:6 шт;Ширина лезвияяяя:";;7zHzrKH7NYebFapSZHeO;881800077172;1050;810;85;40;;;;;
896338402962;;SH-0020;;;"Набор Шампуров №2 (универсальный) - 21 мм - 7 шт";;;;8400.00;;;"Ширина лезвия:21 мм;Количество шампуров:7 шт;Ширина лезвияяяя:";;e3mzKmxOup26esmIYHsI;881800077172;1220;810;85;40;;;;;
159091456102;;SH-0021;;;"Набор Шампуров №2 (универсальный) - 21 мм - 8 шт";;;;9600.00;;;"Ширина лезвия:21 мм;Количество шампуров:8 шт;Ширина лезвияяяя:";;uHR3LnkAgXI3XC3ltXjR;881800077172;1390;810;85;40;;;;;
269195614032;;SH-0022;;;"Набор Шампуров №2 (универсальный) - 21 мм - 9 шт";;;;10800.00;;;"Ширина лезвия:21 мм;Количество шампуров:9 шт;Ширина лезвияяяя:";;v65hosFuJe5CZNzDcZLn;881800077172;1560;810;85;40;;;;;
308278800452;;SH-0023;;;"Набор Шампуров №2 (универсальный) - 21 мм - 10 шт";;;;12000.00;;;"Ширина лезвия:21 мм;Количество шампуров:10 шт;Ширина лезвияяяя:";;T2jH5EsskOmE4ktaLXG6;881800077172;1730;810;85;40;;;;;
726619065342;;SH-0024;;;"Набор Шампуров №2 (универсальный) - 21 мм - 11 шт";;;;13200.00;;;"Ширина лезвия:21 мм;Количество шампуров:11 шт;Ширина лезвияяяя:";;fs8pP7IlNo1X1GJTME7U;881800077172;1900;810;85;40;;;;;
723092898242;"Mangal Craft";;;Шампуры;"Набор Шампуров №6 (комбинированный)";"Заказ от 6 шт<br />Aisi 304 нержавейка";"<strong style=""color: rgb(255, 121, 0);"">Комбинированный набор из 6 шампуров</strong><br /><br />3 шт - внутренняя прорезь прямая<br />3 шт - внутренняя прорезь волнистая<br /><br />Длина 65 см<br />Рабочая поверхность 45 см<br />Ширина 17 мм или 21 мм<br />Ручка не нагревается";https://static.tildacdn.com/stor3437-3365-4532-a161-616231336637/8a4795edd808e304558f0993117e2dc2.png;;;;;"Чехол:Не нужен;Чехол-сумка для шампуров 800 руб.=+800";4XGptni2uk6laFlmyP7Y;;0;0;0;0;"Набор Шампуров №6 (комбинированный)";"3 шт - внутренняя прорезь прямая, 3 шт - внутренняя прорезь волнистая. Для шашлыка, люля кебаба";"купить шампуры, набор шампуров цена, шампур цена, купить шампура для шашлыка, шампур люля купить";;
983296119132;;SH-0052;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 6 шт";;;;6000.00;;;"Ширина лезвия:17 мм;Количество шампуров:6 шт";;iBrPbtGTzTyHG3KTBuZi;723092898242;920;810;85;40;;;;;
347732815092;;SH-0053;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 7 шт";;;;7000.00;;;"Ширина лезвия:17 мм;Количество шампуров:7 шт";;gbKfRN3b3iEUvBvYk3if;723092898242;1060;810;85;40;;;;;
787508877882;;SH-0054;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 8 шт";;;;8000.00;;;"Ширина лезвия:17 мм;Количество шампуров:8 шт";;Ck3irG0cfMvzb0bdTjCF;723092898242;1200;810;85;40;;;;;
205130266612;;SH-0055;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 9 шт";;;;9000.00;;;"Ширина лезвия:17 мм;Количество шампуров:9 шт";;5iPHPxtia8R5O5ScZIrG;723092898242;1340;810;85;40;;;;;
699124000702;;SH-0056;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 10 шт";;;;10000.00;;;"Ширина лезвия:17 мм;Количество шампуров:10 шт";;uuhnS14ukaFR6EjdUPJD;723092898242;1480;810;85;40;;;;;
780971815262;;SH-0057;;;"Набор Шампуров №6 (комбинированный) - 17 мм - 11 шт";;;;11000.00;;;"Ширина лезвия:17 мм;Количество шампуров:11 шт";;4IdyYhUuhJAjUPPRdSEz;723092898242;1620;810;85;40;;;;;
550237262462;;SH-0058;;;"Набор Шампуров №6 (комбинированный) - 21 мм - 6 шт";;;;7200.00;;;"Ширина лезвия:21 мм;Количество шампуров:6 шт";;4VS7uh3dnUPKAVhS8K1y;723092898242;1050;810;85;40;;;;;
781988873972;;SH-0059;;;"Набор Шампуров №6 (комбинированный) - 21 мм - 7 шт";;;;8400.00;;;"Ширина лезвия:21 мм;Количество шампуров:7 шт";;IAfCu12Hdds8MEHSo3Yn;723092898242;1220;810;85;40;;;;;
928859251582;;SH-0060;;;"Набор Шампуров №6 (комбинированный) - 21 мм - 8 шт";;;;9600.00;;;"Ширина лезвия:21 мм;Количество шампуров:8 шт";;FhTGKo5Rfy0kCskn8pMb;723092898242;1390;810;85;40;;;;;
287258384552;;SH-0061;;;"Набор Шампуров №6 (комбинированный) - 21 мм - 9 шт";;;;10800.00;;;"Ширина лезвия:21 мм;Количество шампуров:9 шт";;9kv5o9osgk9sM3yCnfpo;723092898242;1560;810;85;40;;;;;
